time_ms,temp_c,humidity_percent,light_raw,light_status,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,system_status,time_s,accel_mag,gyro_mag,low_light_anomaly,temp_anomaly,motion_anomaly,gyro_anomaly,any_anomaly
1353,24.2,61.0,2629,Bright,0.59,-0.24,8.73,-0.08,0.02,-0.01,NOMINAL,0.0,8.75320512726624,0.08306623862918075,False,False,True,False,True
2356,24.2,61.0,2827,Bright,0.68,-0.28,9.83,-0.08,0.02,-0.01,NOMINAL,1.003,9.857469249254597,0.08306623862918075,False,False,False,False,False
3365,24.2,61.0,2891,Bright,0.67,-0.28,9.81,-0.08,0.02,-0.01,NOMINAL,2.0120000000000005,9.836838923150058,0.08306623862918075,False,False,False,False,False
4368,24.2,61.0,2769,Bright,0.68,-0.3,9.82,-0.08,0.02,-0.01,NOMINAL,3.0150000000000006,9.848086108478135,0.08306623862918075,False,False,False,False,False
5377,24.2,61.0,2723,Bright,0.67,-0.3,9.8,-0.08,0.03,-0.01,NOMINAL,4.024,9.827456435924812,0.08602325267042626,False,False,False,False,False
6380,24.2,61.0,2512,Bright,0.68,-0.3,9.82,-0.08,0.03,-0.01,NOMINAL,5.027,9.848086108478135,0.08602325267042626,False,False,False,False,False
7389,24.2,61.0,2608,Bright,0.68,-0.33,9.84,-0.08,0.03,-0.01,NOMINAL,6.0360000000000005,9.868986776766903,0.08602325267042626,False,False,False,False,False
8392,24.2,61.0,2970,Bright,0.67,-0.3,9.79,-0.08,0.02,-0.01,NOMINAL,7.039,9.817484402839659,0.08306623862918075,False,False,False,False,False
9401,24.3,60.8,2962,Bright,0.67,-0.28,9.81,-0.08,0.03,-0.01,NOMINAL,8.048,9.836838923150058,0.08602325267042626,False,False,False,False,False
10404,24.3,60.8,2615,Bright,0.66,-0.32,9.88,-0.08,0.03,-0.01,NOMINAL,9.051,9.907189308779762,0.08602325267042626,False,False,False,False,False
11413,24.2,60.8,2599,Bright,0.66,-0.31,9.84,-0.08,0.02,-0.01,NOMINAL,10.06,9.866980287808424,0.08306623862918075,False,False,False,False,False
12416,24.2,60.8,2816,Bright,0.68,-0.3,9.82,-0.08,0.02,-0.01,NOMINAL,11.063,9.848086108478135,0.08306623862918075,False,False,False,False,False
13425,24.2,60.8,2822,Bright,0.59,-0.27,9.92,-0.08,0.03,-0.01,NOMINAL,12.072000000000001,9.941197111012336,0.08602325267042626,False,False,False,False,False
14428,24.2,60.8,2813,Bright,0.68,-0.24,9.79,-0.08,0.02,-0.01,NOMINAL,13.075000000000001,9.81652178727272,0.08306623862918075,False,False,False,False,False
15437,24.2,60.8,2795,Bright,0.7,-0.29,9.83,-0.08,0.02,-0.01,NOMINAL,14.084,9.859158179073912,0.08306623862918075,False,False,False,False,False
16440,24.2,60.8,2525,Bright,0.65,-0.25,9.88,-0.08,0.02,-0.01,NOMINAL,15.087000000000002,9.904514122358552,0.08306623862918075,False,False,False,False,False
